Energy,NA,Carbon,Aluminum,Copper,Tin,Tungsten,Lead
0.155640292,1550,1217,1319,1287,1003,606,499
0.156099408,1609,1258,1255,1301,821,607,541
0.156558524,1542,1115,1146,1262,881,541,448
0.15701764,1552,1231,1281,1286,902,591,497
0.157476756,1551,1054,1185,1242,843,556,429
0.157935872,1631,1141,1242,1287,919,597,548
0.158394988,1468,1069,1149,1175,888,480,374
0.158854103,1585,1075,1095,1125,820,454,376
0.159313219,1574,1030,989,1166,806,467,357
0.159772335,1582,1053,1143,1283,869,521,416
0.160231451,1484,899,987,1065,693,395,306
0.160690567,1498,900,1044,1089,748,426,371
0.161149683,1558,1035,1031,1205,791,497,380
0.161608799,1560,912,1084,1170,848,427,391
0.162067915,1507,928,1073,1001,738,376,281
0.162527031,1691,983,1101,1183,880,503,385
0.162986147,1672,897,1053,1148,797,392,342
0.163445263,1631,882,970,1038,819,428,397
0.163904378,1574,795,934,980,751,386,350
0.164363494,1479,742,840,916,626,362,244
0.16482261,1763,841,927,1013,780,479,358
0.165281726,1523,816,909,946,619,387,313
0.165740842,1491,875,894,1079,744,373,362
0.166199958,1645,855,919,1031,749,461,361
0.166659074,1608,803,867,971,750,389,306
0.16711819,1544,713,726,847,585,335,237
0.167577306,1610,826,825,1011,698,453,385
0.168036422,1611,779,867,1022,724,401,330
0.168495538,1581,746,784,916,668,356,235
0.168954653,1668,804,862,912,679,363,330
0.169413769,1574,818,868,911,706,417,291
0.169872885,1563,689,739,912,593,349,238
0.170332001,1496,673,803,837,576,378,275
0.170791117,1502,644,700,885,664,314,247
0.171250233,1522,672,724,855,611,373,290
0.171709349,1608,701,747,840,656,353,259
0.172168465,1582,706,840,899,619,354,302
0.172627581,1498,716,753,843,613,326,242
0.173086697,1580,650,720,757,595,325,267
0.173545812,1394,593,695,728,540,311,219
0.174004928,1453,734,855,889,634,420,321
0.174464044,1479,622,668,798,572,313,221
0.17492316,1529,681,712,807,679,385,308
0.175382276,1613,722,797,882,633,457,296
0.175841392,1676,783,720,847,698,451,336
0.176300508,1428,645,703,789,627,327,244
0.176759624,1548,625,656,769,575,340,246
0.17721874,1426,660,663,748,586,309,249
0.177677856,1485,690,614,758,606,373,340
0.178136972,1443,655,673,743,539,319,263
